CODEMPRESA;RAZAOSOCIAL;NOMEFANTASIA;CEP;NUMCNPJCPF;DATACADASTRO;TOTALVENDAS;MEDIAJUROS;DIASATRASO;Data Abertura CNPJ;Capital Social;Natureza Jurídica;Porte;CNAE's;Latitude;Longitude;NvlImportanciaGEO;Região
364;GETMED - DISTRIBUIDORA MEDICO HOSPITALAR LTDA;GETMED;17016160;01631872000110;2021-01-06 20:04:00;0.0;0.0;-6.0;1997-01-28T00:00:00;200000;Sociedade Empresária Limitada;05;['4645102', '4664800'];-22.3218102;-49.0705863;0.6522605685780798;Região Geográfica Intermediária de Bauru
366;ORION COMERCIO DE PRODUTOS MEDICOS LTDA;ORION COMERCIO DE PRODUTOS MEDICOS LTDA;30150010;21169862000112;2021-01-07 18:55:02;0.0;0.0;0.0;2014-10-06T00:00:00;110000;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03;['4773300', '7729203', '7739002'];-19.9227318;-43.9450948;0.8253345524770843;Região Geográfica Intermediária de Belo Horizonte
367;OSTEO SOLUTION - COMERCIO, IMPORTACAO E EXPORTACAO DE ARTIGO;OSTEO SOLUTION - COMERCIO, IMPORTACAO E EXPORTACAO DE ARTIGO;04038002;07585476000180;2021-01-07 19:03:19;0.0;0.0;0.0;2005-08-01T00:00:00;320000;Sociedade Empresária Limitada;05;['4645101', '4645102', '4618402'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
368;PATMUS PRODUTOS MEDICOS E HOSPITALARES LTDA;CHRONUS PRODUTOS MEDICOS HOSPITALARES;22775022;13181174000140;2021-01-07 19:47:13;52390.03;12.048870967741935;6.892857142857143;2010-11-05T00:00:00;20000;Sociedade Empresária Limitada;01;['4645101', '3312103', '4619200', '4645102', '4664800', '4773300', '5211799', '7020400', '7729203'];-22.9110137;-43.2093727;1.015262735848676;Região Geográfica Intermediária do Rio de Janeiro
369;RADIOMED COMERCIO E IMPORTACAO LTDA;ILIKIA;01424906;71785687000166;2021-01-08 10:44:39;187989.81;0.13412903225806452;0.46853146853146854;1993-06-29T00:00:00;3000000;Sociedade Empresária Limitada;05;['4645101', '4645102', '4646001'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
370;SURGICAL TEC COMERCIO DE PRODUTOS HOSPITALARES LTDA;SURGICAL TEC;78043605;30085522000102;2021-01-08 11:46:28;81700.67;11.129150943396226;3.7157894736842105;2018-04-02T00:00:00;10000;Sociedade Empresária Limitada;01;['4645102', '4773300', '7729203', '7739002'];-15.5986686;-56.0991301;0.6521301493046232;Região Geográfica Intermediária de Cuiabá
371;4 IDEA COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS;4 IDEA;13503251;31277655000135;2021-01-08 12:03:08;1514.88;0.0;0.0;2018-08-20T00:00:00;400000;Sociedade Empresária Limitada;03;['4645101', '4644301', '4773300', '4930202', '7739002'];-22.4100108;-47.5603933;0.6965564499810553;Região Geográfica Intermediária de Campinas
372;LIFE SPINE IMPLANTES LTDA;LIFE SPINE IMPLANTES;04355000;05156268000130;2021-01-08 12:08:56;113177.86;0.0;0.7435897435897436;2002-07-04T00:00:00;25000000;Sociedade Empresária Limitada;05;['4645101', '3319800', '4618402', '4930202', '7739002'];-23.5506507;-46.6333824;0.8861749119420277;Região Geográfica Intermediária de São Paulo
373;LIGHT CARE COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES EIREL;LIGHT CARE COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES EIREL;09510101;31484551000100;2021-01-08 12:15:07;36813.63;0.0;0.47619047619047616;2018-09-12T00:00:00;95400;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03;['4645101', '4664800', '7490104', '7739002'];-23.6195923;-46.5688323;0.9335917759620855;Região Geográfica Intermediária de São Paulo
374;ORTOMUNDI COMERCIO DE MATERIAIS MEDICO CIRURGICOS LTDA;ORTOMUNDI COMERCIO DE MATERIAIS MEDICO CIRURGICOS LTDA;06040008;10842687000166;2021-01-08 12:16:09;11156.23;0.0;0.7;2008-09-10T00:00:00;20000;Sociedade Empresária Limitada;01;['4645102'];-23.5324859;-46.7916801;0.6537590510858996;Região Geográfica Intermediária de São Paulo
